name_category,img_category,url_category,title
,e7dd2f53fdf20acdcd0f29fedda40846.jpg,https://en.sas.am/categories/Other__3083/,False
,7ca65301ae22ca68d611af47d3614ad1.jpg,https://en.sas.am/categories/Meat_delicacies_3022/,True
,5e4c9033246423518591099c88e80e8b.jpg,https://en.sas.am/categories/Basturma_sudjuk__1275/,True
,d346a2883e860604af95090cfeae635f.jpg,https://en.sas.am/categories/Cut_meat__3023/,True
Poultry and Eggs,1f96b3b3a83ff4ac9f29738561e68a8f.png,https://en.sas.am/categories/Poultry_and_Eggs_3135/,True
Poultry,4140e0f12365047cc1bea5ba1c70f4e0.jpg,https://en.sas.am/categories/Poultry_2881/,True
Hens, chicken,4f18e482acfe86d44d89183d5f528157.jpg,https://en.sas.am/categories/Hens_chicken_2884/,False
Other,86e4aeebf3815b1398603f510f5b44ba.jpg,https://en.sas.am/categories/Other_2885/,False
Eggs,61d4198c79d5170fad0821bdb442368d.jpg,https://en.sas.am/categories/Eggs_1147/,True
Fish and Seafood ,9b677afaad5caf105b5d6503b1f66c8e.png,https://en.sas.am/categories/Fish_and_Seafood__2889/,True
Fresh fish,914722f9ea2fa768898924730aeb47fc.jpg,https://en.sas.am/categories/Fresh_fish_2882/,True
Seafood,1c3cd91600f74f9466c32cd3aa6f62a9.jpg,https://en.sas.am/categories/Seafood_2883/,True
Smoked fish,3b3d0518b1bfc0af246e44860c72c738.jpg,https://en.sas.am/categories/Smoked_fish__2890/,True
Preserves,13237e10f67688272ca0acabb71a4561.jpg,https://en.sas.am/categories/Preserves_2891/,True
Imported fresh Sea Product,53ee15be966b2e98b4b37f8b1b9768c9.jpg,https://en.sas.am/categories/Imported_fresh_Sea_Product_6904/,True
Frozen fish,a13bdb3ebd24f2549e78f07ed697bb4e.jpg,https://en.sas.am/categories/Frozen_fish_6270/,True
Caviar,692f37498d78b5bd43f439ba5f157457.jpg,https://en.sas.am/categories/Caviar__1299/,True
Frozen Products ,e54b876f547af89f796a72a3a26d0922.png,https://en.sas.am/categories/Frozen_Products__1056/,True
Poultry,3b27ae59985bc5abb45cb5189f938983.jpg,https://en.sas.am/categories/Poultry__1311/,True
